# ID830 (z=3.4) - Synthetic Data based on Obuchi et al. (2026)
# Rad	Vobs	errV	Vgas	Vdisk	Vbul
# kpc	km/s	km/s	km/s	km/s	km/s
0.10	242.65	10.00	60.00	16.84	0.00
0.20	209.59	10.00	60.00	31.51	0.00
0.30	202.58	10.00	60.00	44.21	0.00
0.40	200.26	10.00	60.00	55.15	0.00
0.50	197.51	10.00	60.00	64.49	0.00
0.60	192.74	10.00	60.00	72.39	0.00
0.70	185.65	10.00	60.00	79.01	0.00
0.80	176.54	10.00	60.00	84.48	0.00
0.90	165.99	10.00	60.00	88.91	0.00
1.00	154.79	10.00	60.00	92.42	0.00
1.10	144.11	10.00	60.00	95.27	0.00
1.20	134.18	10.00	60.00	97.54	0.00
1.30	125.15	10.00	60.00	99.30	0.00
1.40	117.06	10.00	60.00	100.62	0.00
1.50	109.89	10.00	60.00	101.54	0.00
