Galaxy,M
NGC5371_rotmod.dat,0.9649998081049374
UGC07603_rotmod.dat,0.05127680399852579
NGC4138_rotmod.dat,0.6860785700987905
UGC12632_rotmod.dat,0.044944130401313856
NGC5033_rotmod.dat,1.1968610435035916
UGC02023_rotmod.dat,0.14607469326125147
UGCA442_rotmod.dat,0.03653437641351448
UGC04305_rotmod.dat,0.3921679334677475
NGC2841_rotmod.dat,0.9666498583724302
NGC2955_rotmod.dat,0.6944747906450616
NGC4157_rotmod.dat,0.38180398694884077
NGC4183_rotmod.dat,0.22745674249364867
UGC07125_rotmod.dat,0.09115294926479599
UGC03205_rotmod.dat,0.7099410287852166
F583-1_rotmod.dat,0.2170451621810949
NGC4068_rotmod.dat,0.4794483819909973
UGC02885_rotmod.dat,0.9722566557271889
D564-8_rotmod.dat,0.03491378761518351
NGC4013_rotmod.dat,0.3258893509164205
UGC07323_rotmod.dat,0.014048257962019337
NGC3953_rotmod.dat,0.13878790280419245
NGC4559_rotmod.dat,0.2112007942069113
NGC6015_rotmod.dat,0.5718830543359942
UGC05253_rotmod.dat,1.6515388857898894
UGC12506_rotmod.dat,0.49332846172364786
NGC2998_rotmod.dat,1.1152903719471483
UGC00731_rotmod.dat,0.0521069549415192
F583-4_rotmod.dat,0.036005204950735475
UGC06614_rotmod.dat,0.4813989046702755
NGC0024_rotmod.dat,0.27121112274229925
DDO168_rotmod.dat,0.04161696799437962
UGC05750_rotmod.dat,0.6900868418259819
UGC05005_rotmod.dat,0.06843491600467665
NGC3893_rotmod.dat,0.44987250128294143
UGC12732_rotmod.dat,0.0707572766141528
UGC06818_rotmod.dat,0.06275197786400194
IC4202_rotmod.dat,0.20230877443896536
UGC00128_rotmod.dat,0.25085052877450076
D631-7_rotmod.dat,0.10562087900854389
F568-V1_rotmod.dat,0.1518380571798047
UGC06667_rotmod.dat,0.027311390815866827
UGC05918_rotmod.dat,0.021944692702568214
UGC02487_rotmod.dat,0.6590622306999236
UGC05999_rotmod.dat,0.02761166220368027
F568-1_rotmod.dat,0.1712125819176307
NGC2976_rotmod.dat,0.34340578733668464
NGC3917_rotmod.dat,0.12256870736661908
F571-V1_rotmod.dat,0.039349852900708006
NGC3972_rotmod.dat,0.02768224752868508
NGC0801_rotmod.dat,1.5176788456608377
NGC6946_rotmod.dat,0.7553771509101731
F563-V2_rotmod.dat,0.29183204945092445
UGC02953_rotmod.dat,1.8629768027110167
F567-2_rotmod.dat,0.06097062309210578
NGC7331_rotmod.dat,0.6227074788543794
NGC5907_rotmod.dat,0.4588881994075198
NGC3726_rotmod.dat,0.23207148128393604
NGC3198_rotmod.dat,0.43458462130935877
NGC0891_rotmod.dat,0.5847316169086169
NGC0100_rotmod.dat,0.16415888837242246
NGC4217_rotmod.dat,0.20807045626211507
UGC09992_rotmod.dat,0.1845313114099564
UGC06786_rotmod.dat,1.071197715366754
UGC06917_rotmod.dat,0.04175034942123555
ESO563-G021_rotmod.dat,0.3113039061647054
NGC4100_rotmod.dat,0.35016581195623747
NGC3877_rotmod.dat,0.1194733182292164
UGC00191_rotmod.dat,0.1370034221794324
NGC3741_rotmod.dat,0.040677966205193206
NGC0247_rotmod.dat,0.032977591200950375
F563-1_rotmod.dat,0.1971272286513633
F574-2_rotmod.dat,0.07134063361773088
UGC06399_rotmod.dat,0.04426112798922671
UGC11820_rotmod.dat,0.21788906403753247
F568-3_rotmod.dat,0.21700683956762404
UGC07524_rotmod.dat,0.019451534932560938
UGC02259_rotmod.dat,0.14708741433482198
UGC05721_rotmod.dat,0.3332507835184688
UGC05716_rotmod.dat,0.12291583651541406
UGC07151_rotmod.dat,0.06548746620646807
UGC04483_rotmod.dat,0.06414417686370423
NGC1003_rotmod.dat,0.2197849981463408
UGC03546_rotmod.dat,1.7666438416224326
NGC0055_rotmod.dat,0.029456855715327895
NGC1090_rotmod.dat,0.3090541351400779
UGC06973_rotmod.dat,0.20907151369289034
F574-1_rotmod.dat,0.10486436642614609
NGC3769_rotmod.dat,0.6402281138781191
NGC2403_rotmod.dat,0.39546682761289237
UGC03580_rotmod.dat,0.7331966548440805
ESO444-G084_rotmod.dat,0.04689431925892159
UGC11557_rotmod.dat,0.7227615180000133
UGC08490_rotmod.dat,0.3644954703414897
UGC01230_rotmod.dat,0.45380057644689986
UGC08550_rotmod.dat,0.11497666700786759
F561-1_rotmod.dat,0.04537370556812759
UGC07559_rotmod.dat,0.0508676469946213
NGC4389_rotmod.dat,0.10254571441823436
NGC2915_rotmod.dat,0.18717369091895114
NGC5055_rotmod.dat,1.3319734994646737
UGC07399_rotmod.dat,0.08109406793108716
F565-V2_rotmod.dat,0.08608433425023229
NGC3992_rotmod.dat,0.3193337059946221
NGC6503_rotmod.dat,0.5673020280034154
PGC51017_rotmod.dat,0.7922323595993966
NGC1705_rotmod.dat,0.5702089777565572
ESO079-G014_rotmod.dat,0.029922030866651756
F563-V1_rotmod.dat,0.07843006346770952
NGC6195_rotmod.dat,0.550296895311818
DDO161_rotmod.dat,0.015649838826321625
UGC07577_rotmod.dat,0.09923821558831168
UGC04499_rotmod.dat,0.036086982670638236
NGC5005_rotmod.dat,0.5344264497826088
UGC10310_rotmod.dat,0.05229338234130898
NGC0300_rotmod.dat,0.07150038408114616
UGC06446_rotmod.dat,0.141219196691375
NGC5985_rotmod.dat,0.24568395220872677
DDO064_rotmod.dat,0.11841756726530252
DDO170_rotmod.dat,0.04079076824800135
UGC09037_rotmod.dat,0.10729472383294009
UGC11914_rotmod.dat,0.4661703213293298
NGC0289_rotmod.dat,1.2829549891370449
UGC06923_rotmod.dat,0.01697521932107858
NGC7793_rotmod.dat,0.20770432824517296
NGC4214_rotmod.dat,0.4648152130198599
UGC05764_rotmod.dat,0.07591021778274785
UGC04278_rotmod.dat,0.1437386594886534
UGC05829_rotmod.dat,0.03171102214515088
UGC08837_rotmod.dat,0.3356019481679199
UGC04325_rotmod.dat,0.07570101537185416
NGC3521_rotmod.dat,0.4807674395308562
UGC07866_rotmod.dat,0.00798024442142831
UGC08286_rotmod.dat,0.11614529682051
NGC4010_rotmod.dat,0.019190455648680778
NGC2683_rotmod.dat,0.8817894792365762
UGC07261_rotmod.dat,0.11873277579570798
UGC07608_rotmod.dat,0.12827701346847892
